Index,Token ID,Element,Action,Relative Time,Absolute Time
1521, 052,Parallel Gateway Join,Leave,18070745,03/01/2008
1522, 052,Clear Invoice,Enter,18070745,03/01/2008
1523, 056,Create Purchase Requisition,Leave,18076355,03/01/2008
1524, 056,Create Purchase Order,Enter,18076355,03/01/2008
1525, 051,Record Invoice Receipt,Leave,18149331,03/01/2008
1526, 051,Parallel Gateway Join,Enter,18149331,03/01/2008
1527, 051,Parallel Gateway Join,Leave,18149331,03/01/2008
1528, 051,Clear Invoice,Enter,18149331,03/01/2008
1529, 050,Clear Invoice,Leave,18193279,03/01/2008
1530, 050,END EVENT,Enter,18193279,03/01/2008
1531, 050,END EVENT,Leave,18193279,03/01/2008
1532, 055,Receive Order Confirmation,Leave,18197955,03/01/2008
1533, 055,Parallel Gateway Split,Enter,18197955,03/01/2008
1534, 055,Parallel Gateway Split,Leave,18197955,03/01/2008
1535, 055,Record Invoice Receipt,Enter,18197955,03/01/2008
1536, 055,Parallel Gateway Split,Leave,18197955,03/01/2008
1537, 055,Record Goods Receipt,Enter,18197955,03/01/2008
1538, 056,Create Purchase Order,Leave,18204636,03/01/2008
1539, 056,Exclusive Gateway Split 2,Enter,18204636,03/01/2008
1540, 056,Exclusive Gateway Split 2,Leave,18204636,03/01/2008
1541, 056,Print and Send Purchase Order (Paper),Enter,18204636,03/01/2008
1542, 056,Print and Send Purchase Order (Paper),Leave,18204641,03/01/2008
1543, 056,Exclusive Gateway Split 3,Enter,18204641,03/01/2008
1544, 056,Exclusive Gateway Split 3,Leave,18204641,03/01/2008
1545, 056,Receive Order Confirmation,Enter,18204641,03/01/2008
1546, 057,START EVENT,Enter,18384577,03/01/2008
1547, 057,START EVENT,Leave,18384577,03/01/2008
1548, 057,Exclusive Gateway Split 1,Enter,18384577,03/01/2008
1549, 057,Exclusive Gateway Split 1,Leave,18384577,03/01/2008
1550, 057,Create Purchase Requisition,Enter,18384577,03/01/2008
1551, 057,Create Purchase Requisition,Leave,18399553,03/01/2008
1552, 057,Create Purchase Order,Enter,18399553,03/01/2008
1553, 052,Clear Invoice,Leave,18506021,03/01/2008
1554, 052,END EVENT,Enter,18506021,03/01/2008
1555, 052,END EVENT,Leave,18506021,03/01/2008
1556, 057,Create Purchase Order,Leave,18512579,03/01/2008
